,caption,image_file,image_id
0,a residential area with houses arranged neatly .,./train/images/1.tif,0
1,a residential area with houses arranged neatly and some roads go through this area .,./train/images/1.tif,0
2,a residential area with houses arranged neatly while some roads and railways go through .,./train/images/1.tif,0
3,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/1.tif,0
4,a residential area with houses arranged neatly and some railways beside .,./train/images/1.tif,0
5,lots of houses with red and orange roofs arranged in lines .,./train/images/2.tif,1
6,a residential area with houses arranged neatly and some roads go through this area .,./train/images/2.tif,1
7,a town with many houses arranged in lines while some cars on the roads .,./train/images/2.tif,1
8,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/2.tif,1
9,a residential area with houses arranged neatly .,./train/images/2.tif,1
10,lots of houses with red and orange roofs arranged in lines .,./train/images/3.tif,2
11,a residential area with houses arranged neatly and some roads go through this area .,./train/images/3.tif,2
12,a town with many houses arranged in lines while some cars on the roads .,./train/images/3.tif,2
13,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/3.tif,2
14,a residential area with houses arranged neatly .,./train/images/3.tif,2
15,lots of houses with red and orange roofs arranged in lines .,./train/images/4.tif,3
16,a residential area with houses arranged neatly and some roads go through this area .,./train/images/4.tif,3
17,a town with many houses arranged in lines while some cars on the roads .,./train/images/4.tif,3
18,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/4.tif,3
19,a residential area with houses arranged neatly .,./train/images/4.tif,3
20,lots of houses with red and orange roofs arranged in lines .,./train/images/5.tif,4
21,a residential area with houses arranged neatly and some roads go through this area .,./train/images/5.tif,4
22,a town with many houses arranged in lines while some cars on the roads .,./train/images/5.tif,4
23,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/5.tif,4
24,a residential area with houses arranged neatly .,./train/images/5.tif,4
25,lots of houses with red and orange roofs arranged neatly and a crossroads in the middle .,./train/images/6.tif,5
26,a residential area with houses arranged neatly and some roads go through this area .,./train/images/6.tif,5
27,a town with many houses arranged in lines while a crossroads in the middle .,./train/images/6.tif,5
28,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/6.tif,5
29,a residential area with houses arranged neatly while a crossroads in the middle .,./train/images/6.tif,5
30,lots of houses with red and orange roofs arranged neatly and a crossroads in the middle .,./train/images/7.tif,6
31,a residential area with houses arranged neatly and some roads go through this area .,./train/images/7.tif,6
32,a town with many houses arranged in lines while a crossroads in the middle .,./train/images/7.tif,6
33,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/7.tif,6
34,a residential area with houses arranged neatly while a crossroads in the middle .,./train/images/7.tif,6
35,lots of houses with red and orange roofs arranged very neatly .,./train/images/8.tif,7
36,a residential area with houses arranged in lines and some roads go through this area .,./train/images/8.tif,7
37,a town with many houses arranged in lines while some roads go through this area .,./train/images/8.tif,7
38,a residential area with houses arranged very neatly while many plants on the roadside .,./train/images/8.tif,7
39,a residential area with houses arranged in lines with some roads beside .,./train/images/8.tif,7
40,lots of houses with red and white roofs arranged neatly .,./train/images/9.tif,8
41,a residential area with houses arranged neatly and some roads go through this area .,./train/images/9.tif,8
42,a town with many houses arranged neatly while some cars on the roads .,./train/images/9.tif,8
43,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/9.tif,8
44,a residential area with houses arranged neatly and some roads go through this area .,./train/images/9.tif,8
45,some roads go through the residential area .,./train/images/10.tif,9
46,a residential area with houses arranged neatly and a highway beside this area .,./train/images/10.tif,9
47,a town with many houses arranged neatly while some roads go through this area .,./train/images/10.tif,9
48,a residential area and a wasteland are separated by a highway .,./train/images/10.tif,9
49,a residential area and a wasteland are separated by a highway .,./train/images/10.tif,9
50,lots of houses with red and orange roofs arranged very neatly .,./train/images/11.tif,10
51,a residential area with houses arranged neatly and some roads go through this area .,./train/images/11.tif,10
52,a town with many houses arranged in lines while some roads go through this area .,./train/images/11.tif,10
53,a dense residential area with houses arranged neatly while many plants on the roadside .,./train/images/11.tif,10
54,a dense residential area with houses arranged neatly .,./train/images/11.tif,10
55,lots of houses with red and orange roofs arranged neatly .,./train/images/12.tif,11
56,a residential area with houses arranged neatly and some roads go through this area .,./train/images/12.tif,11
57,a town with many houses arranged neatly and a road junction in the middle of this area .,./train/images/12.tif,11
58,a dense residential area with houses arranged neatly while many plants on the roadside .,./train/images/12.tif,11
59,a residential area with houses and a road junction in the middle .,./train/images/12.tif,11
60,lots of houses with different colors of roofs arranged neatly .,./train/images/13.tif,12
61,a dense residential area with houses arranged neatly and some roads go through this area .,./train/images/13.tif,12
62,a town with many houses arranged neatly while the houses are separated by some roads .,./train/images/13.tif,12
63,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/13.tif,12
64,a dense residential area with houses arranged neatly and some crossroads in this area .,./train/images/13.tif,12
65,lots of houses with different colors of roofs arranged neatly .,./train/images/14.tif,13
66,a dense residential area with houses arranged neatly and some roads go through this area .,./train/images/14.tif,13
67,a town with many houses arranged neatly while the houses are separated by some roads .,./train/images/14.tif,13
68,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/14.tif,13
69,a dense residential area with houses arranged neatly and separated by the roads .,./train/images/14.tif,13
70,lots of houses with different colors of roofs arranged in lines .,./train/images/15.tif,14
71,a residential area with houses arranged neatly and some roads go through this area .,./train/images/15.tif,14
72,a town with many houses arranged in lines while some roads go through this area .,./train/images/15.tif,14
73,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/15.tif,14
74,a dense residential area with houses arranged neatly with some t-junctions in this area .,./train/images/15.tif,14
75,many houses arranged neatly and separated by a railway .,./train/images/16.tif,15
76,a residential area with houses arranged neatly and a railway go through this area .,./train/images/16.tif,15
77,a residential area with many houses arranged in lines and separated by a railway .,./train/images/16.tif,15
78,a residential area with a railway go through and a road go over the railway .,./train/images/16.tif,15
79,a dense residential area with a railway go through and a road go over the railway .,./train/images/16.tif,15
80,many houses arranged neatly and separated by a railway .,./train/images/17.tif,16
81,a residential area with houses arranged neatly and a railway go through this area .,./train/images/17.tif,16
82,a residential area with many houses arranged in lines and separated by a railway .,./train/images/17.tif,16
83,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/17.tif,16
84,a dense residential area with many houses arranged neatly and separated by a railway .,./train/images/17.tif,16
85,many houses arranged neatly and separated by a railway .,./train/images/18.tif,17
86,a residential area with houses arranged neatly and a railway go through this area .,./train/images/18.tif,17
87,a residential area with many houses arranged in lines and separated by a railway .,./train/images/18.tif,17
88,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/18.tif,17
89,a dense residential area with many houses arranged neatly and separated by a railway .,./train/images/18.tif,17
90,many houses arranged neatly and separated by a railway .,./train/images/19.tif,18
91,a residential area with houses arranged neatly and a railway go through this area .,./train/images/19.tif,18
92,a residential area with many houses arranged in lines and separated by a railway .,./train/images/19.tif,18
93,a residential area with a railway go through and a road go over the railway .,./train/images/19.tif,18
94,a dense residential area with a railway go through and a road go over the railway .,./train/images/19.tif,18
95,lots of houses with different colors of roofs arranged neatly .,./train/images/20.tif,19
96,many houses in the dense residential area with some roads go through this area .,./train/images/20.tif,19
97,lots of houses arranged neatly in the residential area .,./train/images/20.tif,19
98,a residential area with houses arranged neatly while many plants on the roadside .,./train/images/20.tif,19
